player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_won_played,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
Lesliesanchez,Nebula,207,263.0,1.17,160.2,0.78,0.55,0.21,0.04,48.3,46.1,0.3,161,242,114,43,8,1,Cypher,NA
Ymora,Ascend,130,301.3,1.51,144.8,1.22,0.79,0.17,0.11,26.6,54.2,0.1,159,196,103,22,14,1,KAY/O,LATAM
Ykeller,Rising,263,280.4,0.57,169.3,1.03,0.38,0.25,0.17,23.9,69.3,0.47,271,150,100,66,45,7,Fade,India
Amy84,Zenith,392,251.3,1.42,200.1,1.71,0.32,0.33,0.15,45.6,25.1,0.66,670,557,125,129,59,2,Yoru,ME
Blackdillon,Ascend,483,266.7,1.42,177.8,0.85,0.34,0.2,0.13,28.7,45.6,0.91,411,686,164,97,63,5,Viper,Japan
Ygraham,Harmony,462,317.1,1.34,155.9,0.52,0.33,0.08,0.08,31.8,38.1,0.23,240,619,152,37,37,1,Viper,Japan
Naustin,Valor,475,252.1,1.01,151.6,0.48,0.45,0.08,0.1,44.1,38.1,0.58,228,480,214,38,48,7,Sage,EU
Eric41,Aegis,233,323.8,1.01,194.8,1.8,0.4,0.33,0.05,31.6,39.2,0.49,419,235,93,77,12,7,Raze,Japan
Michaelbrown,Quantum,300,301.8,1.54,155.6,0.76,0.57,0.12,0.12,37.6,59.2,0.7,228,462,171,36,36,7,Sage,EU
Nicolecunningham,Nova,329,320.9,1.11,158.2,1.16,0.48,0.23,0.07,36.5,17.7,0.31,382,365,158,76,23,5,Viper,EU
Lawsondonna,Titan,406,308.9,1.34,171.6,1.15,0.42,0.22,0.02,41.4,41.3,0.35,467,544,171,89,8,6,Sage,Japan
Rebecca27,Legion,269,322.8,1.93,156.3,0.85,0.39,0.18,0.07,42.2,55.6,0.93,229,519,105,48,19,3,KAY/O,Japan
Omiddleton,Quantum,114,267.3,1.28,185.1,1.3,0.87,0.21,0.15,42.1,48.8,0.17,148,146,99,24,17,7,Fade,Oceania
John64,Revolution,498,252.3,1.35,185.8,0.52,0.46,0.23,0.07,44.9,22.7,0.09,259,672,229,115,35,5,Omen,LATAM
Escott,Nova,191,292.4,1.29,183.8,2.2,0.24,0.38,0.18,43.2,40.1,0.65,420,246,46,73,34,6,Phoenix,Japan
Dmorales,Sentinel,104,337.9,1.33,168.2,0.64,0.36,0.08,0.05,26.4,52.6,0.26,67,138,37,8,5,4,Viper,ASIA
Bullockarthur,Ascend,500,273.4,1.17,182.7,1.13,0.44,0.21,0.12,17.8,40.8,0.72,565,585,220,105,60,4,Brimstone,Oceania
Cassandrapierce,Zenith,176,270.7,1.84,178.2,1.94,0.4,0.22,0.05,53.0,35.6,0.51,341,324,70,39,9,5,Reyna,ME
Jesse19,Pulse,463,347.8,1.36,185.2,0.99,0.52,0.23,0.15,27.0,54.9,0.5,458,630,241,106,69,2,Fade,LATAM
Christopher03,Radiant,353,291.9,1.22,195.8,0.76,0.3,0.1,0.09,34.6,35.2,0.11,268,431,106,35,32,1,Omen,EU
David46,Dominion,279,307.9,1.24,157.5,0.48,0.54,0.16,0.16,41.9,46.4,0.48,134,346,151,45,45,1,Killjoy,ASIA
Thomastiffany,Nova,249,305.3,1.56,141.6,1.79,0.49,0.24,0.04,37.6,25.3,0.8,446,388,122,60,10,2,Raze,EU
Brittanyperez,Mystic,236,313.3,1.38,159.6,0.95,0.38,0.13,0.08,29.1,59.1,0.99,224,326,90,31,19,6,Sage,LATAM
James88,Quantum,181,297.0,1.43,148.2,0.54,0.39,0.0,0.03,28.6,29.7,0.36,98,259,71,0,5,3,Cypher,Japan
Hbrown,OrgZ,418,284.3,1.31,167.8,0.64,0.4,0.22,0.02,34.4,21.0,0.45,268,548,167,92,8,3,Omen,EU
Jenniferhughes,Fusion,375,293.8,0.88,185.3,1.06,0.56,0.16,0.12,23.5,42.9,0.98,398,330,210,60,45,3,KAY/O,India
Kendrawall,T1A,368,316.6,0.97,140.0,1.1,0.8,0.16,0.06,35.9,39.8,0.74,405,357,294,59,22,5,Sova,India
George35,Dominion,138,326.8,1.5,167.5,1.13,0.25,0.24,0.07,27.3,52.3,0.0,156,207,34,33,10,5,Omen,EU
Ubenitez,Sentinel,406,262.3,1.39,155.1,1.13,0.4,0.21,0.08,17.1,14.4,0.45,459,564,162,85,32,6,Viper,India
Jeremy94,Phantom,407,309.5,0.94,187.4,0.93,0.64,0.11,0.17,44.3,51.5,0.81,379,383,260,45,69,6,Sage,NA
Nnewton,Dominion,170,294.7,1.63,161.0,0.71,0.57,0.01,0.13,26.1,12.7,0.59,121,277,97,2,22,5,Sage,Russia
Carlyjohnson,Nebula,219,274.9,1.11,161.3,0.84,0.73,0.24,0.1,40.0,19.9,0.19,184,243,160,53,22,2,Sage,India
Mackcristina,Mirage,425,311.5,1.42,172.3,1.01,0.41,0.24,0.1,30.2,31.0,0.89,429,604,174,102,42,5,Brimstone,China
Imoon,OrgY,441,254.4,1.56,164.5,1.28,0.52,0.14,0.05,29.2,44.5,0.91,564,688,229,62,22,3,Astra,LATAM
Rachaelhunt,Storm,345,314.2,1.32,203.6,0.93,0.45,0.23,0.18,35.3,65.9,0.42,321,455,155,79,62,2,Skye,NA
Perryeric,Harmony,315,312.9,1.93,158.0,1.22,0.37,0.31,0.07,45.2,53.1,0.06,384,608,117,98,22,3,Breach,ME
Transusan,Zenith,174,349.1,1.42,202.2,1.39,0.4,0.39,0.15,35.6,59.4,0.0,242,247,70,68,26,2,Raze,LATAM
Dennis73,Mirage,120,281.7,1.4,185.0,1.14,0.51,0.28,0.12,28.2,34.9,0.52,137,168,61,34,14,4,Sova,LATAM
Mlutz,Nova,164,264.2,0.98,163.2,0.76,0.26,0.1,0.2,40.3,25.6,0.95,125,161,43,16,33,1,Sage,India
Luisflynn,Mystic,313,259.5,1.32,198.4,1.06,0.3,0.36,0.04,41.4,35.9,0.05,332,413,94,113,13,6,Reyna,Oceania
Morganandrea,Eclipse,148,306.4,1.48,146.2,1.24,0.41,0.25,0.07,38.6,43.3,0.62,184,219,61,37,10,3,Breach,ME
Ericpatterson,Rising,396,289.4,1.36,154.6,1.28,0.56,0.24,0.08,37.9,57.3,0.28,507,539,222,95,32,3,Breach,LATAM
Uflores,Fusion,422,353.0,1.81,181.0,0.91,0.19,0.15,0.04,41.5,37.6,0.62,384,764,80,63,17,5,Neon,EU
Gdavis,Revolution,291,323.2,1.33,165.8,1.03,0.74,0.19,0.2,46.4,23.4,0.23,300,387,215,55,58,2,Breach,ME
Edwardsjulie,Quantum,294,296.5,1.46,157.2,0.57,0.67,0.19,0.19,34.6,42.4,0.74,168,429,197,56,56,6,Sage,EU
Johnjohnson,Sentinel,320,287.8,1.63,176.3,1.6,0.04,0.19,0.19,48.7,53.1,0.53,512,522,13,61,61,5,Reyna,Russia
Austinnewman,Revolution,374,311.2,1.37,220.4,0.7,0.4,0.3,0.06,36.1,47.6,0.2,262,512,150,112,22,1,Breach,LATAM
Gcook,Zenith,346,346.0,1.02,184.0,1.98,0.23,0.38,0.18,29.2,58.6,0.59,685,353,80,131,62,6,Phoenix,EU
Shernandez,Nebula,204,320.5,0.95,209.8,0.91,0.42,0.32,0.1,21.7,38.9,0.24,186,194,86,65,20,4,Breach,Japan
Hillangela,Mirage,498,312.0,1.46,146.1,1.08,0.29,0.1,0.24,28.8,22.3,0.58,538,727,144,50,120,3,Killjoy,Oceania
Cindy94,Legion,172,333.8,1.38,176.4,1.02,0.37,0.09,0.09,31.5,32.9,0.07,175,237,64,15,15,4,Brimstone,India
Robert88,Storm,489,301.4,1.1,190.1,0.93,0.45,0.09,0.01,20.9,59.3,0.09,455,538,220,44,5,2,Cypher,ASIA
Annwarner,Mirage,112,271.2,0.99,162.0,0.56,0.75,0.24,0.2,50.0,25.0,0.18,63,111,84,27,22,7,Killjoy,India
Isaac89,Radiant,327,360.2,1.59,198.9,1.59,0.4,0.14,0.03,52.6,32.7,0.22,520,520,131,46,10,5,Reyna,ASIA
Martinezdeanna,Harmony,425,255.6,1.7,172.4,1.12,0.77,0.34,0.19,24.4,24.3,0.81,476,722,327,144,81,3,Fade,ME
Dylansilva,Harmony,152,290.1,0.98,222.6,1.65,0.42,0.18,0.0,39.5,59.7,0.91,251,149,64,27,0,5,Phoenix,EU
Jennifersimmons,Ascend,282,303.9,1.36,156.2,0.79,0.56,0.28,0.19,29.9,21.6,0.38,223,384,158,79,54,5,Sage,ASIA
Williammorton,OrgZ,472,299.2,1.39,187.6,1.29,0.56,0.32,0.07,44.4,45.5,0.32,609,656,264,151,33,5,KAY/O,EU
James62,Ascend,223,269.0,1.12,172.3,2.05,0.2,0.38,0.13,40.8,35.8,0.11,457,250,45,85,29,1,Neon,ME
Ustein,Phantom,380,313.2,0.66,195.9,1.31,0.55,0.33,0.07,25.6,54.2,0.25,498,251,209,125,27,1,KAY/O,EU
Kmitchell,Harmony,332,320.2,1.07,166.8,0.43,0.65,0.1,0.13,26.5,11.8,0.38,143,355,216,33,43,5,Brimstone,ME
Millergreg,Revolution,346,248.1,0.93,162.3,0.93,0.79,0.17,0.16,28.4,48.3,0.62,322,322,273,59,55,3,Breach,LATAM
Hughesdawn,Nebula,233,299.8,1.1,134.4,0.77,0.26,0.15,0.15,37.5,50.8,0.62,179,256,61,35,35,3,Killjoy,ME
Bradyeric,Phantom,104,261.0,1.28,198.7,1.04,0.39,0.13,0.03,41.3,47.1,0.77,108,133,41,14,3,2,Brimstone,India
Rodriguezjenny,Valor,155,294.9,1.49,133.3,0.75,0.32,0.22,0.12,40.6,31.5,0.66,116,231,50,34,19,7,Omen,Russia
Tracyanderson,Zenith,235,285.3,1.16,188.0,1.63,0.14,0.2,0.03,38.3,39.8,0.99,383,273,33,47,7,2,Yoru,EU
Johnkeith,Quantum,161,335.2,1.15,172.2,0.74,0.37,0.22,0.11,15.7,44.0,0.72,119,185,60,35,18,6,Brimstone,Russia
Jasmine85,Aegis,210,292.2,1.11,190.3,0.63,0.26,0.05,0.01,35.4,30.4,0.54,132,233,55,10,2,7,Astra,Russia
Nkelly,Valor,475,259.5,1.36,174.7,0.74,0.86,0.06,0.14,39.1,16.2,0.57,352,646,408,28,66,4,Sage,Oceania
Zsimon,Titan,341,298.3,0.96,216.8,0.86,0.5,0.1,0.06,16.7,38.1,0.93,293,327,170,34,20,4,Viper,Oceania
Cindygarcia,Zenith,158,345.8,1.57,186.2,1.04,0.51,0.25,0.08,24.5,58.7,0.57,164,248,81,40,13,3,Fade,China
Cameron44,Mirage,304,286.8,1.13,163.3,0.82,0.71,0.11,0.09,31.3,42.9,0.36,249,344,216,33,27,4,Killjoy,Japan
Beth11,Quantum,151,334.5,1.37,191.1,1.96,0.13,0.28,0.14,39.0,47.1,0.11,296,207,20,42,21,1,Reyna,ME
Masonchristy,Fusion,127,280.0,1.91,169.3,1.07,0.79,0.22,0.15,28.6,29.4,0.3,136,243,100,28,19,7,Fade,ME
Ambermoore,Pulse,459,251.0,0.95,164.0,0.96,0.12,0.12,0.1,33.2,52.3,0.83,441,436,55,55,46,1,Astra,NA
Jennadickerson,Pulse,201,285.4,1.65,180.3,0.84,0.65,0.18,0.17,49.5,25.4,0.84,169,332,131,36,34,1,Skye,India
Zfields,Radiant,295,273.3,1.2,172.6,0.77,0.08,0.09,0.02,29.3,40.4,0.76,227,354,24,27,6,3,Killjoy,Russia
Hallderek,Mystic,202,284.1,1.14,148.1,0.8,0.48,0.06,0.16,31.4,49.2,0.66,162,230,97,12,32,1,Sage,ASIA
Johnwalsh,Valor,238,301.8,1.05,186.9,1.25,0.12,0.15,0.05,20.7,10.9,0.52,298,250,29,36,12,1,Omen,EU
Clarkejames,OrgY,293,257.9,1.06,131.3,0.97,0.65,0.26,0.25,44.0,17.1,0.76,284,311,190,76,73,6,Sage,China
Juliewarren,OrgZ,429,335.5,1.79,168.5,1.2,0.2,0.18,0.06,46.3,20.4,0.76,515,768,86,77,26,4,Reyna,NA
Mariecollins,Ascend,356,281.8,1.43,148.4,0.94,0.36,0.23,0.22,26.2,46.2,0.35,335,509,128,82,78,1,Killjoy,ME
Rogersbrandon,Nebula,109,291.7,1.29,214.8,1.8,0.43,0.29,0.16,54.3,59.5,0.76,196,141,47,32,17,3,Phoenix,ME
Adamthomas,Rising,454,318.7,1.37,161.7,0.61,0.4,0.12,0.14,36.0,41.3,0.41,277,622,182,54,64,7,Viper,ASIA
Francisco25,Storm,429,269.1,0.85,160.4,0.79,0.32,0.23,0.19,49.3,29.1,0.39,339,365,137,99,82,7,Sage,China
Montesjennifer,Legion,390,351.7,1.94,151.4,1.3,0.15,0.13,0.06,35.9,14.2,0.17,507,757,58,51,23,3,Viper,Oceania
Gwilliams,Radiant,132,301.2,1.0,160.3,1.06,0.46,0.2,0.18,50.9,17.4,0.25,140,132,61,26,24,4,Phoenix,Russia
Pcampbell,Phantom,350,307.4,1.18,144.1,0.71,0.82,0.04,0.03,29.1,55.4,0.67,248,413,287,14,10,3,Sage,Oceania
Amy99,Titan,186,315.8,1.61,197.3,1.28,0.4,0.18,0.13,41.9,40.3,0.18,238,299,74,33,24,3,Raze,India
Hhunter,Aegis,159,310.4,1.72,150.9,1.95,0.21,0.21,0.03,34.4,59.2,0.96,310,273,33,33,5,1,Reyna,Russia
Ljones,Rising,356,343.7,0.58,163.6,1.05,0.81,0.24,0.14,27.0,46.1,0.35,374,206,288,85,50,3,Sova,China
Jensenanthony,Revolution,499,300.0,0.89,178.3,0.38,0.41,0.18,0.04,34.3,18.7,0.46,190,444,205,90,20,2,Sage,ASIA
Pamelarussell,Sentinel,363,285.2,1.91,201.7,1.5,0.28,0.33,0.05,30.3,63.8,0.64,544,693,102,120,18,6,Raze,Russia
Jack11,Spectre,263,263.9,1.63,193.8,1.51,0.43,0.25,0.12,28.8,58.8,0.76,397,429,113,66,32,1,Yoru,ME
Raymondboyd,Obsidian,278,280.0,0.97,156.3,0.77,0.46,0.18,0.15,40.1,29.1,0.68,214,270,128,50,42,1,Omen,NA
Gregory56,Eclipse,301,309.2,1.81,184.9,1.27,0.31,0.18,0.11,49.3,54.4,0.5,382,545,93,54,33,6,Raze,Russia
Vanessa89,Ascend,344,349.6,1.24,140.2,0.74,0.34,0.07,0.1,19.1,18.8,0.37,255,427,117,24,34,5,Astra,Russia
Afranklin,Rising,441,302.7,1.14,202.0,0.45,0.5,0.27,0.07,33.0,64.6,0.13,198,503,220,119,31,1,Fade,LATAM
Robertlee,Nebula,469,273.6,0.74,174.9,0.95,0.49,0.06,0.01,26.8,16.7,0.17,446,347,230,28,5,6,Viper,NA
Bryanfowler,Titan,235,309.1,0.91,200.9,1.21,0.62,0.24,0.08,36.6,33.8,0.54,284,214,146,56,19,1,Fade,Russia
Berrydylan,Sentinel,107,285.8,0.95,195.6,1.48,0.17,0.25,0.16,40.9,24.7,0.81,158,102,18,27,17,5,Jett,ME
Brandongutierrez,OrgZ,447,258.0,0.4,163.8,1.87,0.16,0.22,0.15,51.3,39.5,0.65,836,179,72,98,67,4,Jett,Oceania
Christopher75,Phantom,325,273.9,1.24,183.8,0.67,0.33,0.23,0.02,49.2,12.5,0.93,218,403,107,75,6,2,Cypher,EU
Eric82,Valor,239,303.4,1.16,156.2,0.83,0.35,0.06,0.08,44.5,38.6,0.52,198,277,84,14,19,6,Sage,Russia
Kmaldonado,Fusion,193,262.5,1.1,204.9,0.96,0.34,0.1,0.01,16.8,12.7,0.91,185,212,66,19,2,6,Brimstone,LATAM
Wsmith,T1A,459,347.2,1.36,151.8,0.31,0.72,0.31,0.08,23.9,33.2,1.0,142,624,330,142,37,7,Fade,ME
Cunninghammatthew,Mirage,141,303.2,0.98,150.0,1.05,0.34,0.18,0.11,23.1,17.0,0.7,148,138,48,25,16,3,Killjoy,India
Levymichael,Fusion,319,274.4,1.1,161.7,0.67,0.51,0.03,0.21,49.5,32.4,0.04,214,351,163,10,67,7,Sage,NA
Newtonsean,Phantom,421,286.8,1.4,161.3,0.96,0.52,0.24,0.21,46.9,20.1,0.34,404,589,219,101,88,4,Killjoy,EU
Qayala,Harmony,458,280.2,1.77,200.2,1.29,0.64,0.27,0.14,29.2,66.6,0.52,591,811,293,124,64,7,Skye,ASIA
Waynebarnes,Aegis,410,300.8,1.12,195.1,1.61,0.52,0.13,0.02,16.7,25.4,0.61,660,459,213,53,8,1,Omen,NA
Anitaevans,Dominion,162,291.0,1.88,172.3,1.14,0.73,0.21,0.12,25.6,29.4,0.44,185,305,118,34,19,5,Sova,Oceania
Frankfisher,Rising,366,328.3,1.44,152.9,0.39,0.4,0.18,0.1,29.9,23.3,0.31,143,527,146,66,37,1,Cypher,Japan
Hernandezrichard,Infinity,405,265.3,1.03,160.1,0.94,0.36,0.08,0.03,21.9,22.5,0.21,381,417,146,32,12,6,Brimstone,Russia
Skeller,Nova,131,287.6,1.55,149.6,1.2,0.87,0.32,0.16,28.1,26.6,0.06,157,203,114,42,21,6,Breach,EU
Melvin22,Pulse,100,288.7,1.66,168.7,1.17,0.5,0.11,0.13,15.8,22.6,0.81,117,166,50,11,13,4,Brimstone,Japan
Ngoodwin,Infinity,374,336.5,0.93,129.7,0.31,0.48,0.28,0.16,22.6,13.4,0.98,116,348,180,105,60,7,Cypher,ASIA
Rmoore,Dominion,276,312.7,1.5,178.3,1.96,0.25,0.2,0.13,51.7,54.7,0.1,541,414,69,55,36,3,Reyna,Russia
Epetersen,OrgZ,370,316.1,1.63,150.7,0.99,0.88,0.21,0.07,47.2,55.5,0.62,366,603,326,78,26,6,Skye,LATAM
Parkerdavid,Spectre,317,280.3,1.81,162.8,0.79,0.55,0.21,0.21,23.1,39.1,0.46,250,574,174,67,67,4,Sage,NA
Lisatran,Dominion,235,332.3,1.43,168.5,1.67,0.25,0.2,0.02,26.7,49.0,0.92,392,336,59,47,5,7,Raze,ASIA
Owillis,Valor,368,286.7,1.21,173.4,0.84,0.38,0.12,0.12,17.0,17.4,0.27,309,445,140,44,44,7,Brimstone,ASIA
Caitlinmorrison,Nova,436,303.5,1.27,165.6,0.69,0.27,0.12,0.12,16.8,26.0,0.1,301,554,118,52,52,6,Omen,ME
Darin24,Infinity,307,350.5,1.54,162.0,1.28,0.74,0.18,0.18,33.2,44.3,0.45,393,473,227,55,55,5,Breach,Japan
Alejandromccann,OrgY,143,287.4,1.68,161.4,1.69,0.2,0.33,0.1,43.3,25.6,0.48,242,240,29,47,14,6,Phoenix,Russia
Sherryvilla,Pulse,382,268.3,1.34,172.8,1.81,0.37,0.2,0.08,48.8,15.8,0.33,691,512,141,76,31,5,Reyna,LATAM
Christopher91,Quantum,233,238.8,1.03,155.5,1.48,0.52,0.29,0.09,31.4,29.1,0.79,345,240,121,68,21,1,Fade,NA
Petersenjay,Ascend,104,317.0,1.3,164.0,0.85,0.29,0.17,0.06,15.5,54.5,0.93,88,135,30,18,6,1,Brimstone,Oceania
Wanda38,Pulse,118,305.1,1.36,173.1,1.01,0.58,0.28,0.05,26.6,55.2,0.15,119,160,68,33,6,7,Sova,ASIA
Dwerner,Spectre,112,320.1,0.85,158.5,0.98,0.64,0.17,0.11,33.4,57.6,0.95,110,95,72,19,12,3,Sova,EU
Jasmine42,OrgY,248,312.0,1.1,162.8,0.43,0.5,0.09,0.09,29.4,38.9,0.68,107,273,124,22,22,1,Cypher,NA
Leejames,OrgZ,243,257.9,1.7,156.2,0.98,0.3,0.07,0.19,41.7,15.9,0.59,238,413,73,17,46,7,Cypher,Japan
Morganramirez,Vanguard,283,287.1,1.29,143.4,0.87,0.41,0.19,0.2,34.4,55.7,0.05,246,365,116,54,57,2,Cypher,Japan
Halllindsey,Ascend,490,285.0,1.48,160.8,0.73,0.48,0.13,0.07,26.8,19.5,0.23,358,725,235,64,34,6,Viper,China
Jesseevans,Radiant,104,301.9,1.09,171.8,1.26,0.6,0.35,0.17,38.5,65.7,0.81,131,113,62,36,18,3,Breach,NA
Kingdalton,Sentinel,391,280.2,1.01,171.3,0.81,0.65,0.23,0.15,43.3,24.2,0.38,317,395,254,90,59,5,KAY/O,China
Kimberlyward,Aegis,368,266.1,0.77,135.1,0.89,0.24,0.26,0.17,50.0,57.3,0.84,328,283,88,96,63,1,Killjoy,EU
Monique03,OrgZ,330,339.1,1.37,189.8,0.37,0.54,0.21,0.13,28.5,26.9,0.05,122,452,178,69,43,3,Astra,EU
Khart,Revolution,484,298.7,1.19,161.0,0.82,0.53,0.25,0.04,22.4,53.2,0.36,397,576,257,121,19,3,Killjoy,Russia
Fwilson,Revolution,308,334.9,1.15,153.3,0.76,0.71,0.08,0.22,43.7,19.7,0.33,234,354,219,25,68,3,Killjoy,Russia
Jdonaldson,Titan,112,218.9,1.26,170.6,0.59,0.41,0.22,0.09,16.9,38.9,0.89,66,141,46,25,10,6,Viper,Russia
Ymcclain,Nebula,346,343.3,1.01,152.6,0.75,0.51,0.06,0.01,19.5,27.7,0.2,260,349,176,21,3,3,Omen,Japan
Vlamb,Sentinel,215,293.9,1.45,164.2,1.05,0.43,0.2,0.08,20.4,20.5,0.7,226,312,92,43,17,3,Sage,ME
Carrkelly,Fusion,251,263.9,1.39,211.7,0.6,0.77,0.27,0.09,48.6,28.7,0.48,151,349,193,68,23,6,Sova,EU
Lucasdeborah,Pulse,455,352.9,1.61,161.9,1.68,0.25,0.22,0.1,28.9,16.4,0.76,764,733,114,100,46,3,Raze,Japan
Stephenslori,OrgY,193,311.8,1.37,177.6,0.91,0.52,0.15,0.06,36.1,13.3,0.55,176,264,100,29,12,3,Killjoy,ME
Smithtyler,Revolution,169,309.5,1.82,152.2,1.12,0.59,0.3,0.1,20.5,52.9,0.2,189,308,100,51,17,5,KAY/O,NA
Xwiley,Dominion,232,303.9,1.41,184.7,1.51,0.41,0.26,0.18,45.5,18.9,0.25,350,327,95,60,42,2,Reyna,ME
Hansenheather,Quantum,216,323.3,1.05,169.6,1.05,0.45,0.24,0.05,30.9,17.8,0.09,227,227,97,52,11,2,Sage,ASIA
Nphillips,Radiant,418,279.4,0.89,150.8,0.79,0.6,0.19,0.05,43.1,32.5,0.11,330,372,251,79,21,1,Brimstone,India
Stricklandamy,Valor,498,302.2,1.17,138.7,0.61,0.47,0.07,0.19,23.3,17.2,0.28,304,583,234,35,95,6,Cypher,India
Catherine44,Dominion,162,347.5,1.05,181.3,1.61,0.39,0.37,0.09,45.5,48.9,0.3,261,170,63,60,15,2,Jett,Oceania
Staylor,OrgY,179,280.8,1.81,179.4,1.39,0.27,0.38,0.12,42.5,33.3,0.96,249,324,48,68,21,1,Yoru,NA
Harmonzachary,OrgZ,391,318.1,1.09,181.2,0.6,0.76,0.24,0.1,22.1,45.0,0.96,235,426,297,94,39,3,Fade,EU
Kmassey,Pulse,259,323.0,1.61,144.6,1.61,0.38,0.13,0.08,25.7,32.1,0.62,417,417,98,34,21,3,Raze,NA
Deborah11,Quantum,202,287.1,1.07,179.6,0.57,0.56,0.17,0.03,46.9,52.5,0.75,115,216,113,34,6,7,Sage,ME
Taylormichelle,Spectre,340,272.4,1.38,152.2,0.48,0.29,0.24,0.2,41.2,10.2,0.92,163,469,99,82,68,5,Sage,Japan
Desireeroth,Spectre,177,284.2,0.98,150.0,0.48,0.3,0.22,0.19,42.0,56.4,0.29,85,173,53,39,34,5,Skye,India
Adam02,Dominion,438,269.2,1.24,141.1,1.18,0.55,0.33,0.0,38.0,31.9,0.61,517,543,241,145,0,2,Yoru,ASIA
Xperez,Eclipse,173,308.6,1.28,196.9,1.23,0.59,0.16,0.1,33.5,36.0,0.14,213,221,102,28,17,1,Astra,Russia
Zgutierrez,Rising,328,275.8,1.35,198.4,1.15,0.45,0.16,0.1,44.3,42.4,0.08,377,443,148,52,33,3,Omen,Japan
Lorrainefloyd,Aegis,112,276.9,0.85,161.5,0.9,0.7,0.01,0.0,49.0,51.4,0.75,101,95,78,1,0,1,Sage,Russia
Jeffrey31,Fusion,407,316.8,0.82,170.6,1.27,0.32,0.24,0.12,27.2,36.7,0.75,517,334,130,98,49,1,Viper,NA
Kristine15,Rising,357,295.3,1.5,137.2,0.98,0.49,0.23,0.12,36.7,35.2,0.92,350,536,175,82,43,5,Viper,India
Nicholas80,Rising,409,290.4,1.26,142.0,0.96,0.65,0.28,0.24,34.0,43.7,0.97,393,515,266,115,98,4,Sage,ASIA
Douglaswolf,Obsidian,174,257.2,0.56,161.4,0.46,0.31,0.2,0.11,31.2,38.1,0.36,80,97,54,35,19,4,Cypher,ME
Kcurry,Fusion,486,293.4,1.51,161.6,0.92,0.51,0.05,0.24,22.7,19.1,1.0,447,734,248,24,117,4,Sage,NA
Oliveryvonne,Nebula,307,301.5,1.27,180.9,0.47,0.48,0.24,0.09,40.1,33.6,0.7,144,390,147,74,28,7,Killjoy,ME
Bobby02,Mirage,500,343.3,1.5,175.9,0.93,0.28,0.23,0.12,21.1,35.7,0.75,465,750,140,115,60,6,Astra,ME
Jonesdavid,Spectre,251,283.3,0.99,200.8,0.7,0.27,0.12,0.12,32.3,13.4,0.08,176,248,68,30,30,3,Viper,ME
John51,Mirage,405,348.5,1.14,175.4,0.96,0.45,0.25,0.02,41.0,17.3,0.62,389,462,182,101,8,1,Viper,Japan
Hpeterson,Ascend,325,344.6,1.45,129.6,1.75,0.18,0.21,0.02,31.8,40.8,0.99,569,471,58,68,6,4,Yoru,Russia
Druiz,Revolution,311,321.5,1.19,161.5,0.47,0.31,0.25,0.18,25.4,30.4,0.0,146,370,96,78,56,4,Sage,China
Gutierrezbryan,Nova,324,289.4,1.32,181.8,1.04,0.59,0.12,0.01,28.0,28.6,0.82,337,428,191,39,3,4,Viper,ME
Rachelmorris,Harmony,158,298.5,1.45,149.4,0.8,0.55,0.08,0.01,42.8,16.9,0.39,126,229,87,13,2,2,Cypher,ASIA
Todd60,Radiant,306,268.7,1.13,192.5,0.59,0.57,0.02,0.23,24.5,36.0,0.37,181,346,174,6,70,3,Killjoy,EU
Belltina,Sentinel,332,306.8,1.1,148.0,0.69,0.61,0.03,0.13,46.8,31.2,0.22,229,365,203,10,43,5,Killjoy,NA
Kristina26,Fusion,161,300.6,1.34,147.8,0.51,0.3,0.01,0.11,40.2,51.4,0.85,82,216,48,2,18,6,Sage,ASIA
Nancy26,Zenith,462,302.6,1.17,191.7,1.26,0.4,0.05,0.08,40.4,49.5,0.9,582,541,185,23,37,5,Omen,LATAM
Brandon38,Harmony,455,248.4,1.48,167.3,0.45,0.62,0.16,0.03,28.2,42.8,0.04,205,673,282,73,14,3,Cypher,ASIA
Aanderson,Zenith,209,286.5,1.32,143.2,0.85,0.54,0.25,0.02,20.7,33.0,0.91,178,276,113,52,4,6,Sage,NA
Xjensen,Dominion,340,334.5,1.95,145.3,1.15,0.28,0.14,0.04,43.2,42.3,0.33,391,663,95,48,14,7,Reyna,ASIA
Russellscott,Mirage,307,296.3,2.26,180.9,1.32,0.36,0.09,0.09,31.0,27.5,0.8,405,694,111,28,28,1,Omen,LATAM
Jennifermendoza,Titan,424,321.4,1.72,132.2,1.15,0.28,0.13,0.05,39.9,51.6,0.05,488,729,119,55,21,5,Brimstone,ME
Fanderson,T1A,322,286.1,1.39,193.8,1.1,0.16,0.2,0.15,50.2,43.5,0.55,354,448,52,64,48,1,Reyna,China
Nicholasjones,Nova,164,316.5,1.42,195.6,0.67,0.57,0.26,0.18,29.9,20.4,0.99,110,233,93,43,30,6,Breach,Japan
Rbrooks,Nebula,194,306.6,1.42,168.2,0.65,0.4,0.25,0.17,41.4,34.4,0.6,126,275,78,48,33,7,Killjoy,China
